codigo_comuna,comuna_residencia,codigo_region,region_residencia,Fase Comuna
13502,Alhue,13,Metropolitana,2
13402,Buin,13,Metropolitana,1
13403,Calera de Tango,13,Metropolitana,2
13102,Cerrillos,13,Metropolitana,1
13103,Cerro Navia,13,Metropolitana,2
13301,Colina,13,Metropolitana,1
13104,Conchali,13,Metropolitana,1
13503,Curacavi,13,Metropolitana,1
13105,El Bosque,13,Metropolitana,2
13602,El Monte,13,Metropolitana,2
13106,Estacion Central,13,Metropolitana,2
13107,Huechuraba,13,Metropolitana,1
13108,Independencia,13,Metropolitana,1
13603,Isla de Maipo,13,Metropolitana,2
13109,La Cisterna,13,Metropolitana,2
13110,La Florida,13,Metropolitana,2
13111,La Granja,13,Metropolitana,2
13112,La Pintana,13,Metropolitana,2
13113,La Reina,13,Metropolitana,2
13302,Lampa,13,Metropolitana,1
13114,Las Condes,13,Metropolitana,2
13115,Lo Barnechea,13,Metropolitana,2
13116,Lo Espejo,13,Metropolitana,2
13117,Lo Prado,13,Metropolitana,2
13118,Macul,13,Metropolitana,1
13119,Maipu,13,Metropolitana,1
13504,Maria Pinto,13,Metropolitana,1
13501,Melipilla,13,Metropolitana,1
13120,Nunoa,13,Metropolitana,2
13604,Padre Hurtado,13,Metropolitana,2
13404,Paine,13,Metropolitana,1
13121,Pedro Aguirre Cerda,13,Metropolitana,2
13605,Penaflor,13,Metropolitana,2
13122,Penalolen,13,Metropolitana,2
13202,Pirque,13,Metropolitana,2
13123,Providencia,13,Metropolitana,2
13124,Pudahuel,13,Metropolitana,2
13201,Puente Alto,13,Metropolitana,2
13125,Quilicura,13,Metropolitana,1
13126,Quinta Normal,13,Metropolitana,2
13127,Recoleta,13,Metropolitana,1
13128,Renca,13,Metropolitana,2
13401,San Bernardo,13,Metropolitana,2
13129,San Joaquin,13,Metropolitana,2
13203,San Jose de Maipo,13,Metropolitana,1
13130,San Miguel,13,Metropolitana,2
13505,San Pedro,13,Metropolitana,2
13131,San Ramon,13,Metropolitana,2
13101,Santiago,13,Metropolitana,1
13601,Talagante,13,Metropolitana,2
13303,Tiltil,13,Metropolitana,1
13132,Vitacura,13,Metropolitana,2
